Designation,Experience,Salary,No. of Publications,No. of Chapters,Amount of consultancy work,Fund Received,Professional Membership
2,20,689170,40,720,864800,3738180,3
3,39,783796,104,923,850564,2854735,3
3,34,657990,102,668,1886569,7267908,15
3,27,669807,81,243,640206,6114780,10
2,20,297310,10,1000,994500,1219110,14
2,7,256935,24,147,475254,489485,3
3,33,490204,55,847,2149356,596431,1
3,26,536960,8,364,1241084,5756833,11
2,16,461496,40,608,499864,4612376,6
1,1,64503,5,76,116885,72279,13
3,37,492433,24,851,1118127,740777,3
3,39,900484,117,455,1212835,5254405,13
3,35,244848,11,1096,1276998,8365770,9
1,6,388986,54,252,485892,1872924,14
2,17,559359,17,535,1385772,6137918,3
3,29,339145,38,638,1885135,3794717,15
1,2,83016,4,102,372964,411694,12
2,16,494584,24,408,1309600,5465392,6
2,7,221903,31,45,337491,402535,2
3,34,361068,79,623,2108816,4686900,12
2,7,168588,7,136,497906,3346535,3
2,14,386554,28,217,727664,3658081,3
1,2,135524,2,6,270094,1401196,12
3,26,529186,69,442,1495416,3705277,10
2,10,262015,15,500,354270,731815,15
2,24,626640,120,624,1671288,10151460,12
2,21,672619,94,640,601597,2054188,14
3,40,641293,40,120,1099373,10652480,4
2,11,230664,38,22,810078,4179202,1
2,9,119295,9,288,682006,1273167,5
2,20,628600,80,80,1025870,5611020,12
3,37,841380,61,61,1399993,8953926,2
2,19,201143,85,389,1828807,1144142,8
2,11,235521,44,368,835208,965981,1
3,38,463258,50,798,1442910,4023034,9
1,6,177498,36,108,1135026,1345944,8
3,28,244514,18,401,821314,5055885,4
1,3,73119,18,69,301170,2924166,3
3,35,562998,11,443,2317921,8112463,13
2,11,318945,44,27,491007,716375,12
3,40,492160,93,1253,989720,8390133,1
3,26,200399,34,684,1417632,3427580,10
2,13,410917,45,123,781560,1319240,11
3,26,373438,78,589,979194,5072920,8
3,39,505115,130,819,754455,7210593,13
3,37,556603,98,431,892440,11719219,7
2,14,276941,63,294,1162700,6564012,15
3,37,491162,86,962,708944,11951925,15
2,21,218914,52,829,602805,1530585,3
2,18,214209,81,270,1210491,3214413,5
3,26,340071,43,537,583856,3701065,3
3,37,360762,49,49,892390,3638925,7
3,28,250366,74,112,781106,3903237,4
2,15,322005,30,540,434505,5564625,10
2,19,286871,76,646,1577513,8650538,1
2,13,295496,19,117,821314,6078975,6
3,25,479841,50,116,487641,8025750,15
2,18,603927,63,243,554085,4039326,15
1,6,241608,30,552,1073040,718722,7
3,29,468562,77,667,1467342,2377719,9
2,16,166208,16,472,1120152,3320304,15
2,10,282000,30,200,888880,3524245,8
3,27,236061,36,306,1594665,529866,8
1,3,152211,3,78,370668,2923680,7
2,23,325392,57,414,915641,792522,1
3,32,510101,96,448,904256,10485397,10
2,10,156170,50,40,699165,539410,7
2,19,692531,85,104,1380236,7719690,7
2,9,92443,31,256,899977,4432855,5
2,23,335363,46,701,1753301,2002736,9
1,4,292964,28,332,440792,1291636,13
2,14,460719,35,266,730478,1539272,10
2,24,778008,120,636,1442088,6075492,12
3,27,304254,36,495,1610298,3483819,1
2,11,237066,38,456,1075662,2870417,2
2,21,372823,10,462,1560363,10208761,3
3,37,572192,24,863,2248613,9102234,6
2,18,414423,36,432,1038348,6170229,5
1,2,127062,14,156,298630,943176,6
1,2,132742,18,34,223988,827832,12
3,30,712890,30,120,1504380,6525300,4
3,27,366939,27,765,596988,7634295,6
3,32,721088,74,117,1495818,8923050,14
2,12,369768,54,378,935496,3528504,1
3,30,352360,10,630,560280,7820980,1
2,9,304812,4,144,631359,614304,14
2,17,333327,68,476,1035963,6290841,13
1,5,265270,15,490,988305,2137965,4
3,30,300720,30,120,1930900,9423540,10
3,32,295349,74,544,1983914,8603882,10
3,26,417178,17,26,1162338,852635,9
1,4,183772,8,76,382680,1074980,15
2,15,511020,67,555,430957,1087905,5
2,8,89552,36,292,290488,1735424,4
2,13,240604,52,390,915083,2017879,3
3,40,289320,40,360,1122440,6118346,7
1,4,262184,28,256,323456,288228,12
2,18,235476,27,360,806850,7511976,11
1,3,80070,27,258,227823,2294748,7
2,13,138996,65,32,1235656,5264896,6
2,23,818892,23,1058,2191106,2646219,14
2,15,273465,37,532,447720,5923222,2
2,19,567929,66,522,1251919,7435137,8
3,39,685919,65,26,1395121,1693913,11
3,25,472283,75,50,433408,1881700,12
1,2,131472,20,50,267008,1433076,3
3,37,919339,61,826,900641,10923978,13
3,34,439790,68,11,1442778,9756492,2
3,28,513492,37,74,1298640,3762145,7
3,39,572104,39,923,1297491,9191988,10
2,14,524062,7,294,604135,5738124,1
1,2,84710,10,182,309562,1725050,14
1,6,241050,48,522,608220,514992,5
2,15,519885,7,390,409530,5776740,14
1,6,382170,54,462,531582,1520688,15
3,38,363964,38,405,1339626,5575461,3
2,23,401833,115,287,601243,9743570,3
3,34,791792,102,272,1288679,6770578,4
2,20,658360,30,450,1646960,4468320,1
2,22,355058,22,264,690239,9550893,5
1,2,44672,6,10,263872,416966,10
3,31,705157,103,330,578863,2686015,4
1,5,211450,15,45,373525,4755730,2
2,15,355762,37,607,619942,6025882,13
3,37,772720,24,185,2273600,8977902,4
3,38,830376,114,114,1696978,9868840,10
1,4,240960,40,316,299788,1761860,15
2,7,84759,28,122,249326,3362779,6
2,7,101783,10,140,329934,3149902,3
3,29,512497,48,744,1143093,5063139,1
2,10,137025,20,105,634915,3182955,11
1,5,136580,50,240,790635,4321665,5
2,14,144326,56,427,608328,2874536,2
2,18,282861,36,387,1101420,6553359,9
3,26,507164,60,43,1333271,8048872,7
3,35,869610,35,758,1736805,5414663,7
1,5,110085,50,310,877890,1598310,10
1,2,50024,18,150,222480,1526400,9
2,19,578531,95,826,1054120,6862097,14
3,29,540666,96,212,1137969,1009751,15
2,16,481840,24,440,1084688,1914568,10
3,40,823040,93,293,2343546,3530066,5
3,28,633966,74,280,1064634,3908286,8
2,19,519840,57,237,742672,4304602,14
3,38,303176,63,354,1062290,5891507,2
3,29,592740,58,241,1248827,3647059,14
1,5,149835,45,225,684525,557755,6
2,22,321409,55,902,623986,5197005,15
3,27,589977,63,18,875007,4468563,15
2,18,478143,36,36,604044,1878867,15
2,8,97888,16,232,475296,3213808,1
2,21,280864,105,283,1895460,688863,3
2,13,428766,32,52,1080664,1298596,14
3,27,360027,54,72,1463256,3359178,1
2,21,783247,52,399,1278375,2836071,1
3,35,366228,93,781,1537106,7574711,12
2,21,398181,94,682,596526,9561457,14
2,20,399690,90,130,801750,5827100,10
2,13,245433,26,292,771225,6253669,15
3,30,568090,90,650,1828240,7460490,13
1,5,234415,50,165,769505,3471705,8
2,22,323026,33,561,1632356,4434034,4
2,7,71102,31,203,370692,3021347,12
3,29,383380,77,29,1932241,8781490,5
3,30,213830,10,490,1389570,8297470,13
2,22,604142,44,264,1755116,10993136,6
3,35,431281,70,35,636650,9598621,1
2,22,414469,44,1078,1364968,10699040,13
1,2,40500,2,92,256732,691380,8
3,37,374427,123,740,2101649,3391679,10
3,30,271240,80,1000,727020,8074400,12
3,35,657836,23,1085,653345,10732971,10
3,40,557480,93,906,2376746,10382093,12
3,40,881400,120,1026,817893,2489346,7
2,23,718106,23,713,1204820,10289337,8
2,16,578152,40,96,947664,5043896,2
2,10,335305,40,485,993690,1550335,15
2,14,419314,42,98,831222,5207986,15
3,38,421736,25,950,2217844,7274834,5
2,22,577269,77,572,618739,1484571,6
3,31,748061,93,413,638496,8387701,14
2,7,242483,10,206,430027,467502,9
2,12,390042,30,402,746826,4338324,5
2,15,260100,52,345,1459192,3251647,1
3,31,624102,51,764,2001928,2624150,13
2,11,234162,44,93,966251,629887,10
2,14,476980,70,238,554932,6147918,14
3,30,713020,60,80,1620770,1279460,1
3,34,539750,102,1065,764818,2730732,7
3,27,366831,54,234,1382472,1532097,9
3,39,309972,104,793,1510288,12144106,6
1,3,68271,21,144,501366,606621,8
3,40,526946,40,333,1788906,733506,12
3,40,370253,40,466,842280,8580013,9
2,11,411757,38,132,369627,4440183,7
1,2,46026,12,60,299046,443212,2
2,22,551617,22,176,1075514,8026502,10
3,26,635648,26,95,1140264,2881138,6
3,29,540308,38,367,579990,4818543,4
3,29,198263,77,812,768664,9004316,6
1,1,30563,1,60,186455,186164,3
3,31,559839,31,744,1197881,2275307,8
3,25,484083,8,733,787075,1996325,5
2,10,285945,35,185,568365,2283060,1
3,34,843846,34,510,1719516,9355122,15
3,34,527555,56,181,1970674,6936600,10
2,20,352450,40,780,1664190,3219720,1
2,7,152439,14,325,530981,1971518,12
2,15,386737,45,705,784792,5114992,1
3,30,387170,20,190,1950740,6703110,13
3,37,829552,74,925,1967721,3340631,11
3,26,550827,60,355,542186,6968546,1
2,16,212416,16,8,1369816,781280,5
2,13,188129,52,351,980583,4517188,7
3,31,498666,51,1033,632761,7646687,15
2,13,136818,13,78,1026480,3440177,13
3,33,330374,110,11,1609190,5715996,7
2,8,203756,20,32,778864,1180088,6
2,20,551960,30,30,1960360,8991980,5
2,19,370034,76,636,497629,6396787,1
2,23,861476,57,1150,1047960,7669430,14
3,26,400694,8,641,841464,6545976,11
2,11,154500,49,528,1029297,2104129,4
3,33,698940,110,605,809611,6150012,5
2,15,240682,52,330,894532,6323032,4
2,11,169092,22,49,600924,5116072,13
2,17,314083,8,280,963390,5582392,9
2,14,433167,7,609,388528,2063033,4
2,8,268412,40,348,254120,1620132,6
2,9,176256,45,220,293904,3553002,11
3,29,415840,9,531,702776,7695991,1
2,18,439839,63,207,1669878,6548445,3
3,27,454392,81,360,756036,2220399,13
3,34,716550,34,1076,817292,4925013,4
2,8,199752,24,320,498756,1338884,13
2,14,423171,28,378,816396,5173182,2
3,39,718055,78,559,1464294,9587123,3
3,31,358814,93,599,1786685,5175450,7
3,28,280140,9,485,875401,5319141,14
3,37,782439,24,24,882351,2902933,10
3,32,635808,64,853,1442496,5355104,4
3,29,505025,19,802,559477,799501,10
1,4,183948,32,104,591508,420112,13
3,25,364058,75,400,1429833,3201433,6
1,4,263648,24,20,430092,318776,11
2,16,462704,32,472,805632,2394216,2
3,25,535700,25,475,599350,3509541,9
2,24,611556,96,240,2252388,9704604,2
2,14,493423,49,364,706951,5328029,7
2,12,278088,24,108,582780,3104568,7
2,18,183204,9,333,1426842,8837928,13
3,30,558020,90,260,1034190,7450650,4
2,8,135632,16,28,390024,2049020,10
3,26,284526,86,537,1373398,4184760,9
2,10,321460,35,475,934215,2406905,7
2,18,271467,63,360,749412,6338151,15
2,15,347497,67,645,537307,2132317,12
2,19,359166,76,627,910736,6122237,15
1,5,374140,50,55,851735,4382735,5
3,34,443575,34,521,1650008,8111924,13
3,28,679961,37,840,809741,1009185,1
2,22,692131,11,396,823559,6345141,4
3,27,259299,72,252,1510695,7568874,14
3,36,386304,60,780,1257144,7570188,2
2,11,268037,11,192,356906,2257002,11
3,34,568876,45,612,2201976,5787797,9
2,13,456930,32,84,516438,1586559,10
2,12,185592,12,240,667950,4774674,5
2,20,676200,20,820,1828710,1820430,3
2,8,135088,16,208,363508,3759864,10
2,20,294390,100,240,1108320,4151000,2
2,15,497175,60,555,728437,5474595,3
2,19,482144,95,256,1352819,6968145,13
2,21,664912,63,241,1118260,5589717,12
2,8,283908,36,8,585900,846224,3
2,16,247576,40,640,1227320,5495584,9
3,29,487238,38,734,1185172,7657237,12
3,27,465552,18,315,1006776,4875750,14
1,3,92493,27,273,182544,2238132,6
3,35,559720,58,326,2230783,10049923,11
2,22,711601,33,539,2115905,7473873,8
1,1,61592,9,82,92516,940191,12
1,4,127984,32,184,649628,1430492,15
2,19,367089,57,247,1484764,9139513,8
2,10,340925,5,125,315490,445670,4
2,14,165977,70,175,840826,4946543,1
3,31,239826,72,330,1497610,9999608,5
2,15,197460,15,540,690067,5780175,4
2,22,814341,110,836,1565355,8717247,14
3,35,265055,116,396,1578243,5918010,12
3,29,495484,29,638,1642173,6923721,8
3,26,590962,60,554,1345812,5304424,10
3,38,380912,126,114,1677117,7330592,14
2,16,320832,80,16,589368,5383496,4
3,33,731621,33,407,1819158,1513479,1
3,40,544680,40,346,1279120,10876640,4
2,19,298585,95,570,1027871,7884762,14
2,9,128511,27,58,330412,2983374,4
3,38,900270,126,886,1368684,8068907,2
3,31,703669,82,175,1924449,1746498,14
2,23,839764,23,184,645322,3405380,5
1,5,167175,20,290,835110,3846045,11
2,9,294241,4,319,489487,3853422,4
3,39,369915,117,273,793598,1474291,2
3,35,450030,116,816,1377401,9018333,6
3,40,915946,53,13,2376160,3161653,1
3,29,566988,96,802,1741537,8234318,14
1,4,104856,36,128,250476,1926696,8
3,26,572658,8,8,1124578,2959415,5
1,3,107637,15,144,311160,2524476,11
2,9,169335,31,247,542619,3934521,1
2,24,643560,36,552,2297628,8172876,8
2,21,757459,94,693,1115761,2167305,10
2,19,282786,28,560,1047565,6003629,8
3,27,388566,36,180,806607,6863895,6
2,10,142180,50,160,460940,2539705,10
2,24,455520,60,372,1009728,2626272,9
3,27,267228,9,360,947889,6520212,4
2,17,213018,51,484,649493,663416,8
3,40,577466,13,893,2660373,2296640,11
2,20,455950,30,610,1668850,7927490,2
3,31,630023,82,258,936716,6403370,4
2,17,515635,76,484,1677220,1115234,8
3,29,387575,87,966,1301297,4926539,15
3,25,393225,66,116,1195766,3246308,4
3,33,610247,11,1012,1032108,5572886,3
2,15,414780,67,585,495142,2129242,6
2,17,259054,42,510,1659931,816102,1
2,17,367395,59,654,1483743,2386885,4
3,32,417610,106,426,713920,592704,7
1,3,124395,30,183,473973,1522476,7
3,31,389928,72,785,2008355,8163540,14
3,27,498465,54,162,1770039,5074785,10
3,37,705836,61,123,1254164,10822019,14
2,8,222288,4,284,644272,1897256,3
3,38,806866,50,734,2532649,2827694,13
2,18,318996,9,108,1090431,2530836,7
3,38,455696,76,1266,2370541,1616355,13
2,7,241899,17,133,275541,2165352,15
3,34,719406,102,510,1972464,6507724,10
3,27,218664,72,729,786222,1292742,9
1,4,195944,4,184,756712,3715852,1
1,3,165144,3,12,513903,2132895,6
2,23,819087,103,448,2020596,7213984,2
2,22,803231,22,132,592691,4006244,12
2,24,653052,60,924,1156248,2057940,8
3,27,540351,72,855,550593,1837206,14
2,10,302320,15,105,950835,2572105,15
3,35,788981,58,268,2199341,5821806,15
3,27,271692,90,666,1607697,8449065,2
2,15,519450,45,97,1435117,6610597,15
3,27,341154,63,432,670221,3105756,15
2,22,551870,44,440,874126,3053468,1
1,3,75204,18,276,253314,1357347,9
2,11,135701,22,159,451704,4486905,7
3,29,421022,77,145,993559,5678818,11
3,38,927884,25,608,861941,6042646,1
2,13,336219,26,442,552968,4859153,14
2,17,221782,85,603,529040,5838191,5
2,24,630360,24,924,1789548,6683028,6
2,7,84577,7,227,353216,1504951,9
2,24,899652,24,216,1435680,640164,15
1,3,148380,24,273,544299,247167,9
2,9,197734,22,171,359230,819495,5
3,28,341152,28,224,525709,1135325,6
1,4,191428,28,4,417216,838676,13
2,16,288704,40,256,911336,5908920,6
3,37,343051,123,949,1884299,11709254,8
3,30,245370,70,980,1181870,8409320,3
2,11,368175,16,82,1098025,5217305,6
3,36,246456,36,828,1739868,9362064,3
1,1,47941,5,48,56016,55287,3
3,25,551333,66,616,1656525,5829358,1
1,1,39707,2,71,81463,254709,15
2,11,218388,22,143,370837,5025273,3
1,4,185788,36,300,554492,1529776,9
3,32,680405,32,405,1474037,1368917,11
2,14,458444,21,196,644294,6764492,5
2,14,163821,28,602,935214,5195589,9
2,21,762174,31,252,1780474,9371911,3
3,25,391100,83,558,1090591,4651841,8
1,6,412068,60,438,527358,3197862,5
2,8,125332,32,64,493252,1171256,7
1,5,250555,45,425,305635,4800475,10
2,20,460330,20,410,1316020,4404220,10
3,34,729866,22,396,1487500,5125613,13
3,34,469619,22,634,801108,1334046,10
2,17,453687,85,110,692877,3634073,1
3,36,750468,84,1092,1361472,6889356,14
1,2,62588,20,64,245992,1732954,1
2,12,325740,36,354,797574,5069832,4
3,28,640938,28,168,1642526,863650,11
3,31,739598,93,744,2034282,2308373,11
2,19,482353,85,171,974852,5685113,15
2,16,220064,48,32,632592,4875568,9
3,27,430101,18,297,1049832,5331330,8
1,6,244704,48,12,851646,722916,1
1,5,153945,20,205,800440,3222500,10
2,8,141300,4,396,456796,3688164,15
1,3,149967,30,261,562689,2802153,4
1,5,102085,5,290,413660,861495,11
3,37,489238,111,937,1572006,7064878,9
3,37,902935,123,1184,1375610,3699630,6
1,5,281605,40,415,467760,440240,5
3,28,251934,84,410,1513120,1437660,12
1,6,265596,18,42,1135998,5885790,5
2,14,256991,70,399,694582,1275288,10
3,40,372000,13,240,2364813,1342040,15
3,31,499017,10,589,921154,3759101,12
3,26,405262,86,840,540990,8105690,1
2,14,196364,70,434,1309091,2753982,4
2,11,218289,49,335,364963,3422991,12
1,5,276665,5,170,823835,1456210,3
2,7,174475,24,322,208726,266581,7
3,29,486484,19,754,1394996,5467892,9
3,35,596901,81,1143,1295653,9800455,6
2,16,384088,32,448,1247824,3973712,7
2,16,580112,32,328,1569128,6189560,11
2,15,316545,60,210,1174657,6165000,14
2,14,274715,14,644,987616,5261172,15
3,32,218933,96,832,645696,6477546,2
3,25,560408,83,33,864475,522366,11
2,22,703560,11,253,1244925,3263689,1
2,9,302562,18,387,743944,2559901,12
1,1,58311,7,100,92756,369555,13
2,12,439692,12,300,359232,4037772,5
2,7,166803,21,101,623126,3471790,1
2,18,457758,18,594,1182726,7273854,2
3,25,349283,50,550,627308,3773266,13
2,15,238012,30,300,733005,6398902,9
2,20,686920,100,1000,1927670,3082710,15
3,34,729628,45,396,2076323,8991957,9
3,27,610227,90,27,758835,2271078,7
3,28,411684,84,140,494694,5838793,14
1,1,23899,10,14,109807,396628,2
1,5,218310,50,330,504210,1254240,10
3,30,442040,100,850,837260,3290430,11
1,2,138872,20,126,106818,1461310,9
2,22,778426,22,561,2052061,8374982,7
2,13,345293,65,58,763145,4495081,5
3,27,455031,72,432,1348164,1163421,8
3,33,559625,66,99,743182,7493046,7
2,8,138432,28,244,675772,1712840,2
2,13,393302,19,84,798577,1136544,5
3,26,594160,60,476,827259,602775,12
2,20,434500,60,110,700360,7179770,8
3,25,550108,33,716,1411650,5087383,1
3,26,444340,60,788,810974,3268416,3
2,22,784102,22,1045,1078506,5765958,8
3,39,528008,78,312,816543,11264240,11
1,6,364140,36,522,1168182,5543904,9
2,14,431571,14,231,728819,3132955,7
2,17,550196,25,501,680195,878696,15
3,26,630465,34,641,1376076,3856580,8
2,20,504760,20,760,627420,1022740,14
2,22,754875,22,165,589215,9494298,8
3,36,473808,96,132,2086260,10102452,1
3,37,763914,49,160,1053908,5777155,1
3,39,640133,65,780,2396342,7373444,4
3,28,618202,46,812,868345,3284904,8
3,37,813950,123,1048,708981,8551341,3
3,37,912975,37,542,802752,11433259,8
1,6,282210,42,534,691218,2928072,2
2,21,247128,84,882,872172,5306406,13
2,12,190200,30,552,537408,4527252,11
3,29,469307,38,415,1505158,5002867,4
3,28,321533,65,84,1485409,7930925,12
2,24,670284,48,204,780684,1267968,1
2,10,201305,40,70,308215,4275580,3
3,39,263757,13,130,2242578,10349157,12
2,14,443191,7,658,1317435,4001620,4
3,35,357151,23,735,1770580,11201120,7
1,3,158352,30,96,500646,2218920,4
3,28,539093,37,569,1794324,3414096,5
3,34,496966,68,487,1802872,10416466,7
3,25,370466,83,558,470641,3530491,14
3,30,277230,30,730,1972030,2899390,7
3,27,257022,45,459,1296252,8811594,5
3,29,609116,38,96,1415171,7213073,4
2,11,253990,5,396,583137,3407937,13
3,35,297033,70,863,1942138,3911623,14
2,22,649858,99,319,1262151,1156925,13
3,34,481156,56,952,1177862,7704490,10
3,40,387546,133,733,808240,4898106,13
2,19,628824,38,408,1032327,5971130,2
2,10,182040,30,405,765950,4002695,8
2,22,370733,110,605,737099,4151422,7
2,15,183390,37,360,1436775,1633477,4
3,36,692424,72,804,843324,8920824,13
1,4,202536,8,152,459532,327228,1
2,7,149439,21,28,672647,3429699,15
2,22,802208,66,429,1672462,4337388,8
2,10,139690,40,350,673950,1824455,6
2,21,773094,42,976,1804383,7149691,13
2,22,525283,44,935,747923,1915947,2
3,29,539255,67,425,943350,4140668,6
2,23,731641,92,839,1647593,1899524,11
2,13,331162,32,396,1276749,352131,2
2,24,262608,120,12,1945224,7868208,10
3,40,736826,120,213,1179760,7283133,13
2,8,196332,36,324,785672,3061276,10
1,3,73875,24,228,312375,2605809,13
2,12,173064,12,138,387414,1886580,2
2,21,647661,21,577,896962,4654282,15
2,21,556300,10,630,1306777,4835932,6
3,28,460105,28,345,914918,1805253,13
1,3,71742,6,210,233064,868908,1
2,16,549208,56,360,1129480,5611560,8
1,4,112092,8,136,388936,1882052,4
2,12,363420,36,282,791664,3859704,14
2,15,500422,52,7,709785,2381527,7
3,27,645804,54,711,932841,3381867,7
2,22,229669,33,308,1831951,5461500,11
3,25,495058,25,208,1383550,3581283,14
3,39,596297,91,1131,1713374,4457362,1
3,40,514306,40,946,2528506,11513960,4
2,23,370875,11,184,1019935,8527882,10
2,18,639414,90,855,982800,5292783,2
3,32,228213,10,256,1378176,3153664,5
2,20,331220,60,940,1923700,3935800,7
